URL,Discount,Rating,Brand,Item,MRP,Reviews
ethnic-dresses/anayna/anayna-red-floral-ethnic-a-line-cotton-midi-ethnic-dress/21334304/buy,Rs. 863,4.5,anayna,Floral A-Line Midi Ethnic Dress,Rs. 2698,11.6k
dresses/trendyol/trendyol-floral-printed-sweetheart-neck-a-line-dress/21582122/buy,Rs. 1214,4,Trendyol,Printed A-Line Dress,Rs. 2699,568
dresses/stylecast/stylecast-red-shoulder-straps-bodycon-maxi-dress/25323250/buy,Rs. 1149,4.3,StyleCast,Bodycon Maxi Dress,Rs. 3149,430
dresses/sassafras/sassafras-floral-chiffon-frill-hem--a-line-dress/15301164/buy,Rs. 758,4.2,SASSAFRAS,Floral Chiffon A-Line Dress,Rs. 2299,4.3k
dresses/tulsattva/tulsattva-off-white-midi-dress/19628870/buy,Rs. 976,4.2,Tulsattva,Midi Dress,Rs. 2790,2.4k
dresses/octics/octics-floral-printed-fit--flare-dress/28688510/buy,Rs. 1504,3.9,OCTICS,Floral Fit & Flare Dress,Rs. 4299,168
dresses/bani+women/bani-women-v-neck-ethnic-motifs-a-line-midi-dress/21972748/buy,Rs. 983,4.4,Bani Women,Ethnic Motifs A-Line Midi Dress,Rs. 2399,1.2k
dresses/baesd/baesd-floral-print-v-neck-georgette-maxi-dress/26694318/buy,Rs. 725,3.8,BAESD,Floral Printed Maxi Dress,Rs. 3499,3.2k
dresses/athena/athena-black-square-neck-flutter-sleeves-ruffled-detailed-maxi-dress/27234078/buy,Rs. 1063,4,Athena,Ruffled Detailed Maxi Dress,Rs. 2799,533
dresses/anayna/anayna-floral-print-puff-sleeves-pure-cotton-a-line-midi-dress/27121452/buy,Rs. 1452,4.2,anayna,Floral Print Dress,Rs. 4150,426
dresses/stylecast/stylecast-grey--yellow-floral-printed-chiffon-a-line-dress/28244954/buy,Rs. 1299,3.8,StyleCast,Printed Chiffon A-Line Dress,Rs. 3149,96
dresses/sera/sera-fuchsia-shirt-collar-cuffed-sleeve-wrap-dress/25218702/buy,Rs. 491,4,Sera,Shirt Collar Wrap Dress,Rs. 1694,1.9k
dresses/stylecast/stylecast-beige--navy-blue-geometric-print-mandarin-collar-tiered-maxi-dress/29814926/buy,Rs. 1399,4.4,StyleCast,Geometric Print Maxi Dress,Rs. 3399,9
dresses/azira/azira-floral-printed-mandarin-collar-pure-cotton-fit--flare-dress/24614022/buy,Rs. 899,4.3,Azira,Pure Cotton Fit & Flare Dress,Rs. 2099,621
ethnic-dresses/rustorange/rustorange-black--orange-ethnic-motifs-printed-maxi-dress/11101348/buy,Rs. 999,4.3,Rustorange,Ethnic Motifs Maxi Dress,Rs. 3099,5.3k
dresses/anayna/anayna-green--pink-ethnic-motifs-printed-tiered-pure-cotton-a-line-midi-dress/19351058/buy,Rs. 998,4.3,anayna,Tiered Cotton A-Line Dress,Rs. 2698,5.9k
dresses/antheaa/antheaa-women-puff-sleeve-midi-wrap-dress/29636642/buy,Rs. 1797,4.2,Antheaa,Midi Puff Sleeve Wrap Dress,Rs. 3099,64
dresses/antheaa/antheaa-teal-green--brown-floral-dobby-woven-embellished-maxi-tiered-dress/19473744/buy,Rs. 1259,4.5,Antheaa,Floral Embroidered A-Line Midi Dress,Rs. 2799,7.2k
dresses/street+9/street-9-halter-neck-net-sheath-dress/22089222/buy,Rs. 1799,4.2,STREET 9,Halter Neck Net Sheath Dress,Rs. 5999,940
dresses/antheaa/antheaa-green-floral-printed-v-neck-puff-sleeve-pleated-tiered-fit--flare-dress/24111974/buy,Rs. 1304,4.4,Antheaa,Printed Fit & Flare Dress,Rs. 2899,1.3k
dresses/sassafras/sassafras-red--beige-floral-waist-cut-out-maxi-dress/17787796/buy,Rs. 849,4.4,SASSAFRAS,Floral Waist Cut-Out Dress,Rs. 2498,15.1k
dresses/deebaco/deebaco-off-shoulder-bell-sleeve-flared-a-line-maxi-dress/29252144/buy,Rs. 1919,4.2,DEEBACO,A-Line Maxi Bell Sleeve Dress,Rs. 4799,235
dresses/antheaa/antheaa-woman-floral-smocked-tiered-dress/20385520/buy,Rs. 1214,4.2,Antheaa,Woman Floral Tiered Dress,Rs. 2699,2.9k
dresses/mabish+by+sonal+jain/mabish-by-sonal-jain-ethnic-motifs-printed-gathered-detail-wrap-midi-dress/23893706/buy,Rs. 1039,4,MABISH by Sonal Jain,Printed Wrap Midi Dress,Rs. 2599,2.4k
