URL,Discount,Rating,Brand,Item,MRP,Reviews
sarees/all+about+you/all-about-you-embroidered-satin-saree/28206710/buy,Rs. 1449,4.5,all about you,Embroidered Satin Saree,Rs. 5799,1.1k
sarees/sidhidata/sidhidata-floral-pure-georgette-ready-to-wear-saree/27989168/buy,Rs. 1199,3.4,Sidhidata,Floral Pure Georgette Saree,Rs. 2999,98
sarees/inddus/inddus-floral-sequins-and-thread-embroidered-saree-with-blouse-piece/24275384/buy,Rs. 1979,4.2,Inddus,Net Saree,Rs. 6599,1.9k
sarees/sangria/sangria-black-sequinned-embellished-saree/26105162/buy,Rs. 1249,3.4,Sangria,Sequinned Embellished Saree,Rs. 5049,1.1k
sarees/kasee/kasee-embellished-beads-and-stones-saree/21209326/buy,Rs. 1455,4,kasee,Embellished Saree,Rs. 8088,3.6k
sarees/all+about+you/all-about-you-pink-floral-woven-design-zari-detailed-pure-chiffon-saree/25473154/buy,Rs. 1439,4.2,all about you,Zari Detail Pure Chiffon Saree,Rs. 9599,1.1k
sarees/mitera/mitera-pink--gold-toned-floral-zari-pure-chiffon-saree/19442274/buy,Rs. 679,4,Mitera,Floral Pure Chiffon Saree,Rs. 3999,7k
sarees/inddus/inddus-floral-embroidered-sequinned-saree/25273134/buy,Rs. 1619,4.3,Inddus,Embroidered Sequinned Saree,Rs. 5399,309
sarees/kalini/kalini-ethnic-motif-woven-design-zari-banarasi-saree/22866694/buy,Rs. 626,3.7,KALINI,Woven Design Banarasi Saree,Rs. 3299,8.7k
sarees/mitera/mitera-blue-ombre-dyed-ready-to-wear-saree/23194438/buy,Rs. 691,3.9,Mitera,Ready to Wear Saree,Rs. 4612,2.9k
sarees/mitera/mitera-pink--white-ombre-pure-chiffon-saree/24218850/buy,Rs. 549,3.9,Mitera,Ombre Pure Chiffon Saree,Rs. 4999,1.6k
sarees/mitera/mitera-beads--stones-embellished-pure-georgette-saree-with-jacket-with-blouse/26929400/buy,Rs. 3069,4,Mitera,Pure Georgette Saree,Rs. 14599,123
sarees/mitera/mitera-pink--gold-toned-pure-georgette-saree-with-jacket-with-blouse/24434602/buy,Rs. 2939,4,Mitera,Pure Georgette Saree,Rs. 13999,641
sarees/tikhi+imli/tikhi-imli-embellished-sequinned-ready-to-wear-saree/24942378/buy,Rs. 2494,4,Tikhi Imli,Sequinned Ready to Wear Saree,Rs. 4798,622
sarees/kalista/kalista-sequinned-organza-saree/28801770/buy,Rs. 1532,4,Kalista,Sequinned Organza Saree,Rs. 9576,108
sarees/mitera/mitera-pure-georgette-saree-with-blouse-piece/22436534/buy,Rs. 599,4,Mitera,Pure Georgette Saree,Rs. 2998,2.9k
sarees/mitera/mitera-blue-ethnic-motifs-embroidered-sequinned-detailed-pure-georgette-saree/26243974/buy,Rs. 1859,3.7,Mitera,Sequinned Pure Georgette Saree,Rs. 9299,360
sarees/tikhi+imli/tikhi-imli-embellished-floral-saree/21569212/buy,Rs. 979,4.2,Tikhi Imli,Embellished Floral Saree,Rs. 2798,1.3k
sarees/saree+mall/saree-mall-bandhani-zari-pure-cotton-ready-to-wear-bagru-sarees/29579872/buy,Rs. 1379,3.4,Saree mall,Bandhani Pure Cotton Saree,Rs. 5999,77
sarees/kalini/kalini-ethnic-motifs-printed-saree/22751732/buy,Rs. 659,4.1,KALINI,Ethnic Motifs Printed Saree,Rs. 3299,2.6k
sarees/mitera/mitera-blue--blue-tie-and-dye-beads-and-stones-saree/20446260/buy,Rs. 873,4.2,Mitera,Tie and Dye Saree,Rs. 3799,3.1k
sarees/mitera/mitera-cream-coloured--red-floral-silk-blend-saree/18302804/buy,Rs. 1859,4.2,Mitera,Floral Silk Blend Saree,Rs. 10899,6.4k
sarees/mitera/mitera-orange--pink-printed--embroidered-pure-chiffon-bandhani-saree/24629102/buy,Rs. 1999,3.9,Mitera,Bandhani Pure Chiffon Saree,Rs. 12495,1.6k
sarees/sangria/sangria-charcoal--pink-floral-printed-satin-saree/23593376/buy,Rs. 999,4.1,Sangria,Floral Printed Satin Saree,Rs. 4999,461
sarees/mitera/mitera-green--white-leheriya-printed-embroidered-poly-georgette-leheriya-saree/23406594/buy,Rs. 1299,3.8,Mitera,Poly Georgette Leheriya Saree,Rs. 6842,1.6k
sarees/anouk/anouk-embellished-tissue-saree/28640304/buy,Rs. 1999,3.6,Anouk,Embellished Tissue Saree,Rs. 9999,117
sarees/satrani/satrani-ethnic-motifs-woven-design-zari-banarasi-saree/21932486/buy,Rs. 1730,4,Satrani,Woven Design Banarasi Saree,Rs. 9612,2.6k
sarees/tikhi+imli/tikhi-imli-gunmetal-toned-striped-saree/18709036/buy,Rs. 961,4.4,Tikhi Imli,Striped Saree,Rs. 2598,4.6k
sarees/suta/suta-white--gold-toned-ethnic-motifs-zari-saree/15244226/buy,,4.3,Suta,Ethnic Motifs Saree,,592
sarees/mitera/mitera-cream-coloured--gold-toned-ethnic-motifs-zari-silk-blend-kanjeevaram-saree/17905600/buy,Rs. 1459,4.2,Mitera,Ethnic Motifs Kanjeevaram Silk Blend Saree,Rs. 5399,7.2k
sarees/inddus/inddus-floral-embroidered-mirror-work-satin-saree/23737236/buy,Rs. 2039,4.3,Inddus,Embroidered Satin Saree,Rs. 6799,258
sarees/sangria/sangria-pink-woven-design-zari-detail-poly-georgette-bandhani-saree/23366152/buy,Rs. 1249,3.9,Sangria,Poly Georgette Bandhani Saree,Rs. 4999,811
sarees/kalini/kalini-ethnic-motif-woven-design-zari-kanjeevaram-saree/22536178/buy,Rs. 593,3.7,KALINI,Woven Design Kanjeevaram Saree,Rs. 3299,8.7k
sarees/sangria/sangria-embroidered-net-sarees/24780748/buy,Rs. 1255,4.2,Sangria,Embroidered Net Sarees,Rs. 4330,948
sarees/inddus/inddus-grey--golden-net-embroidered-ruffled-saree/13427898/buy,Rs. 1983,4.2,Inddus,Net Embroidered Ruffled Saree,Rs. 6199,2.1k
sarees/kalista/kalista-embellished-beads-and-stones-organza-saree/28801754/buy,Rs. 2103,4.4,Kalista,Embellished Organza Saree,Rs. 11685,60
sarees/silk+land/silk-land-floral-zari-art-silk-chanderi-saree/21574724/buy,Rs. 1000,4.4,Silk Land,Floral Chanderi Art Silk Saree,Rs. 10000,3.8k
sarees/kalini/kalini-silk-blend-kanjeevaram-saree/26562828/buy,Rs. 989,3.6,KALINI,Silk Blend Kanjeevaram Saree,Rs. 2999,204
sarees/anouk/anouk-blue-floral-embroidered-satin-saree/16846726/buy,Rs. 1374,4,Anouk,Floral Satin Saree,Rs. 5499,2.3k
sarees/sgf11/sgf11-woven-design-bandhani-printed-zari-patola-saree/28866290/buy,Rs. 1461,4.1,SGF11,Woven Design Printed Saree,Rs. 4299,13
sarees/marziyaa/marziyaa-ethnic-woven-design-zari-silk-cotton-banarasi-saree/27439636/buy,Rs. 1199,3.7,Marziyaa,Banarasi Silk Cotton Saree,Rs. 2399,85
sarees/mitera/mitera-lavender--silver-toned-woven-design-zari-saree/24761746/buy,Rs. 710,3.9,Mitera,Woven Design Zari Saree,Rs. 3381,1.4k
sarees/mitera/mitera-pink--silver-toned-paisley-zari-silk-blend-banarasi-saree/15012182/buy,Rs. 1299,4.3,Mitera,Banarasi Silk Blend Saree,Rs. 5199,6.1k
sarees/inddus/inddus-solid-saree-with-embellished-border/17500900/buy,Rs. 1199,4.4,Inddus,Solid Saree,Rs. 3999,2.2k
sarees/inddus/inddus-yellow--white-embroidered-border-saree/23593304/buy,Rs. 1409,4.3,Inddus,Embroidered Border Saree,Rs. 4699,622
sarees/kasee/kasee-embellished-beads-and-stones-saree/21209324/buy,Rs. 1455,4,kasee,Embellished Saree,Rs. 8088,3.6k
sarees/silk+land/silk-land-yellow--turquoise-blue-ethnic-motifs-zari-art-silk-banarasi-saree/19281772/buy,Rs. 799,4.2,Silk Land,Ethnic Motifs Banarasi Art Silk Saree,Rs. 7992,1.6k
sarees/all+about+you/all-about-you-satin-saree/28752710/buy,Rs. 1449,4.5,all about you,Embroidered Satin Saree,Rs. 5799,1.1k
