URL,Discount,Rating,Brand,Item,MRP,Reviews
tops/uptownie+lite/uptownie-lite-white-cowl-neck-crop-top/23641574/buy,Rs. 527,4.1,Uptownie Lite,White Cowl Neck Crop Top,Rs. 1599,6.2k
tops/azira/azira-floral-print-mandarin-collar-puff-sleeve-cotton-peplum-top/27444018/buy,Rs. 699,4.1,Azira,Floral Print Peplum Top,Rs. 1899,483
tops/anouk/anouk-white-mandarin-collar-empire-top/13238794/buy,Rs. 569,3.8,Anouk,Mandarin Collar Empire Top,Rs. 1899,8.3k
tops/trendyol/trendyol-abstract-printed-one-shoulder-top/26228028/buy,Rs. 1279,4.4,Trendyol,Printed One Shoulder Top,Rs. 1599,1.1k
tops/style+quotient/style-quotient-self-design-tie-up-neck-puff-sleeve-cotton-top/22391504/buy,Rs. 702,4.3,Style Quotient,Self Design Puff Sleeve Top,Rs. 1899,3.2k
tops/qomn/qomn-blue-print-mandarin-collar-empire-pure-cotton-longline-top/19524874/buy,Rs. 959,4.4,QOMN,Print Mandarin Collar Empire Top,Rs. 1499,8.1k
tops/everyday+by+ani/everyday-by-ani-women-printed-georgette-top/27751360/buy,Rs. 571,4.1,EVERYDAY by ANI,Women Printed Top,Rs. 2199,654
tops/h%26m/hm-women-square-neck-jersey-top/27971050/buy,,4.3,H&M,Women Square-Neck Jersey Top,,348
tops/stylecast/stylecast-solid-v-neck-lace-inserts-top/29818546/buy,Rs. 1149,4.4,StyleCast,Solid V-Neck Lace Inserts Top,Rs. 2799,10
tops/h%26m/-hm-balloon-sleeved-blouse-/30064937/buy,,3.4,H&M,Balloon-Sleeved Blouse,,13
tops/rare/rare-beige-floral-print-petal-sleeves-shirt-style-top/23595458/buy,Rs. 527,4,RARE,Floral Printed Shirt Top,Rs. 1599,1.6k
tops/shaye/shaye-cream-coloured-empire-top/16156728/buy,Rs. 1493,4.1,SHAYE,Empire Top,Rs. 2449,2.9k
tops/h%26m/hm-women-white-ribbed-modal-blend-top/20412154/buy,,4.4,H&M,Ribbed Modal-Blend Top,,6k
tops/sassafras/sassafras-black-ribbed-square-neck-fitted-top/24956614/buy,Rs. 636,4.3,SASSAFRAS,Ribbed Square Neck Fitted Top,Rs. 1299,1.7k
tops/uptownie+lite/uptownie-lite-black-cowl-neck-crop-top/23641572/buy,Rs. 527,4.1,Uptownie Lite,Black Cowl Neck Crop Top,Rs. 1599,6.2k
tops/kibo/kibo-floral-print-top/21230074/buy,Rs. 503,4,Kibo,Floral Print Top,Rs. 2099,6.1k
tops/h%26m/hm-long-sleeved-jersey-top/21470610/buy,,4.4,H&M,Long-sleeved Jersey Top,,6.8k
tops/all+about+you/all-about-you-print-styled-back-top/27818510/buy,Rs. 594,4.1,all about you,Print Styled Back Top,Rs. 1699,3.5k
tops/kibo/kibo-floral-print-crepe-cinched-waist-top/21419334/buy,Rs. 545,4.1,Kibo,Floral Print Crepe Top,Rs. 2099,2.9k
tops/cotland+fashion/cotland-fashion-geometric-printed-cotton-peplum-top/25685654/buy,Rs. 474,4.3,COTLAND FASHION,Printed Cotton Peplum Top,Rs. 1899,1.1k
tops/street+9/street-9-women-elegant-lavender-solid-cropped-top/16311340/buy,Rs. 475,4,STREET 9,Solid Cropped Top,Rs. 1699,9.5k
tops/h%26m/hm-pure-cotton-full-sleeve-ajrakh-print-top/27474202/buy,Rs. 1499,4.3,H&M,Full Sleeve Ajrakh Print Top,Rs. 1999,69
tops/uptownie+lite/uptownie-lite-maroon-one-shoulder-crop-top/23584514/buy,Rs. 527,4.1,Uptownie Lite,One Shoulder Crop Top,Rs. 1599,6.2k
tops/anouk/anouk-geometric-print-roll-up-sleeves-cotton-shirt-style-crop-top/24871716/buy,Rs. 679,4.3,Anouk,Print Shirt Style Top,Rs. 1999,1.2k
tops/all+about+you/all-about-you-green-embroidery-detail-top/15192116/buy,Rs. 594,4.1,all about you,Embroidery Detail Top,Rs. 1699,3.4k
tops/dressberry/dressberry-pink-floral-print-mandarin-collar-top/23384954/buy,Rs. 689,4.2,DressBerry,Floral Print Mandarin Collar Top,Rs. 2299,1.8k
tops/dream+beauty+fashion/dream-beauty-fashion-sania-women-black--beige-floral-printed-top/20833482/buy,Rs. 395,4.1,Dream Beauty Fashion,Women Printed Top,Rs. 1099,7.3k
tops/tokyo+talkies/tokyo-talkies-black--pink-floral-print-ruched-crop-top/16256364/buy,Rs. 489,4.1,Tokyo Talkies,Floral Print Ruched Crop Top,Rs. 1199,4.2k
tops/stylum/stylum-navy-floral-print-cotton-top/24742852/buy,Rs. 639,4.3,Stylum,Floral Print Top,Rs. 1999,817
tops/dressberry/dressberry-floral-embroidered-puff-sleeve-top/23954524/buy,Rs. 739,3.9,DressBerry,Floral Embroidered Top,Rs. 1999,2.1k
tops/freakins/freakins-cotton-denim-crop-top/21136224/buy,Rs. 1580,4.3,FREAKINS,Denim Top,Rs. 1699,498
tops/kibo/kibo-abstract-print-crepe-top/21230048/buy,Rs. 461,4,Kibo,Print Crepe Top,Rs. 2099,6.1k
